,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_sqr,AcidoCitrico_exp,Azucar_sqr,CloruroSodico_sqr,Densidad_raiz4,pH_ident,Sulfatos_raiz4,Alcohol_sqrt,CalifProductor_sqrt,PrecioBotella_sqr,prop_missings_sqr,aleatorio_raiz4,aleatorio2_log,Beneficio
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,22.7,2,1.0,M,***,Reg 1,1,0.952841789343203,0.04548757795883851,8.309692455502395,5.573396220385179,13.711106806691495,2.50416982788411,1.4529331297487582,3.3401972490511724,1.3395053421307193,2.5266440624840665,1.3645593560288818,1e-08,3.670765282407223,1.3450610356421882,-1.8579451423059998,515
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,Reg 3,0,0.8786919812904146,0.2467617598253098,37.42227238131819,5.132738376365246,11.324239250485126,9.305102116320414,1.334062311994449,2.949014688351486,1.3144149408573969,2.4873825636431435,1.6712221139600012,2.613945453915255,1e-08,1.3180928611342473,-0.1594349009920074,585
2,-1.22,0.34,1.4,0.04,1.03236,3.2,-0.66,11.6,2,6.23,B,***,Reg 2,1,0.37379981258344763,0.13372060903705052,1.1722134088067866,21.566660754236345,8.789397100757071,9.363347962210915,1.4669761189077763,3.0693785531821587,1.1533802200555567,1.8061898043800892,1.3645593560288818,12.621666713927839,3.670765282407223,1.0645044060807034,-0.7735391142139413,775
3,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,Reg 2,0,0.13275701630881787,0.26803030533186867,9.157458189220398,49.72799231354871,10.621465316958753,8.471708279306648,1.338270760639726,5.672247130145458,1.2877993924617874,2.053896300258465,0.9649150833430776,0.9569795554811767,1e-08,0.821778462302143,-0.07662373020003548,596
4,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,Reg 2,0,0.4616397673020891,0.3350416638379762,5.697821499386788,22.873544668585676,8.860419842650893,4.2136412195147726,1.0636626272817344,2.903878239039983,1.3450153884681553,1.8824313029327113,1.6712221139600012,5.055725657727148,1e-08,1.122181784698524,0.1468430445017968,1083
5,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,Reg 1,0,0.025761664278117546,0.8649595250746738,8.76700635337258,25.729692801047534,10.456535744759927,6.03315598009338,1.5442672845384544,2.78351437420931,1.1961067838298398,1.6936957248297226,2.1575230219663686,6.489115658005625,1e-08,0.5454452827977466,1.0960348381704852,596
6,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,Reg 1,0,0.024419855499981713,0.3129856783668782,9.63722869738497,4.15304938293947,9.075202845421154,20.965109469371804,1.1944532188185222,3.595970461816352,1.1169520552021817,1.047321060217929,1.3645593560288818,0.0266099460777734,1e-08,0.538201203725869,0.07865767134943952,499
7,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,Reg 3,0,0.3176325378158058,0.3576574466570944,9.556416316846391,21.566660754236345,8.771686070936969,9.40227948633801,1.1237293917155065,2.663150509378638,1.4782950363067957,1.8370661419155079,1.6712221139600012,5.4606323452814305,1e-08,1.022043079133047,0.2122427046483199,911
8,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,Reg 1,0,0.9343225402821894,0.8769151491310405,11.150034582842142,124.50584353393879,9.057206019419587,5.801291348298378,1.3431715845886592,6.168748072571984,1.4840359764098685,1.844704477647779,1.9297524380738358,1.1087529049606288,1e-08,1.3384773029735861,1.1097689434490485,773
9,0.76,0.33,-26.0,-0.195,0.9885,3.07,0.56,11.4,1,5.26,M,*,Reg 1,0,0.10672611211450522,0.7778620098815462,13.434039141430127,21.31438440173779,4.604641366484745,5.351191711721572,1.3054638779196126,2.873787272832315,1.3237043623705567,1.7905519845242452,0.9649150833430776,8.374099088551626,1e-08,0.7781423888189087,0.9898472022424567,346
10,0.24,0.24,-18.2,-0.182,1.00916,3.19,-1.01,9.8,2,3.06,M,*,Reg 3,0,0.880127797622491,0.8141219662373713,8.922166332698326,19.172633809843806,5.659383070254259,5.544003667149361,1.388582197778361,3.054333070078324,1.0870885970844848,1.6601550554031799,1.3645593560288818,1.9583278165780298,1e-08,1.3186309819280897,1.035432163420652,364
11,0.35,0.67,4.2,0.333,0.98345,3.19,1.7,6.2,3,2.52,B,Desc,Reg 2,0,0.3460008415021426,0.6273400766660172,9.799874213475514,31.799232196596794,9.292558013824598,15.927633200924305,1.2825254031047282,3.054333070078324,1.4387932397095162,1.3204927887152722,1.6712221139600012,1.066252784494117,1e-08,1.0441360759992544,0.7746580015838304,552
12,0.17,0.34,15.6,0.044,0.99752,3.06,3.38,9.1,2,1.05,R,**,Reg 2,0,0.34392540283389816,0.4123773988651167,8.38506080930294,21.566660754236345,11.485718874612388,9.441291778625185,1.3436587261810873,2.858741789728481,1.5700368381856584,1.5997676729483825,1.3645593560288818,0.0011603327212733436,1e-08,1.04256678796068,0.3547610167089177,776
13,-2.05,0.27,13.2,0.036,0.99408,1.95,0.02,13.0,2,2.1,B,****,Reg 2,0,0.6386621903754688,0.6420001038112313,1e-08,19.861503278456823,11.004709556408182,9.285727218436952,1.329478699110035,1.188693165202895,1.2567464253630898,1.9120768840678688,1.3645593560288818,0.5584579651989102,1e-08,1.217040079229834,0.7977728908183959,814
14,1.17,-0.09,1.5,0.027,0.99,3.3,0.33,12.5,3,1.56,R,**,Reg 3,0,0.13072133848504996,0.6133130101848934,17.640167128549358,13.003134370846709,8.807125992838515,9.112261779286689,1.312049796070907,3.2198333842204994,1.2964466611721936,1.8749466686227396,1.6712221139600012,0.14477489052371956,1e-08,0.8186100469240676,0.7520294180817317,885
15,1.65,-2.27,9.2,-0.002,0.9893,3.04,0.61,9.7,3,3.2,R,*,Reg 3,1,0.7577649393779317,0.608252941000507,23.29119209763104,1.0001000050001667,10.225891053918364,8.564443400519943,1.3089887354672234,2.828650823520813,1.3294123926703907,1.651663466902171,1.6712221139600012,2.2335329506149373,3.670765282407223,1.270195499104473,0.7437391431104049,604
16,0.34,0.46,4.7,0.029,1.00111,1.42,1.74,17.3,2,3.91,B,**,Reg 2,0,0.845116678921198,0.7957453189046215,9.71838132959468,24.837293088954297,9.38388181343305,9.150668310373275,1.357993426728306,0.39128256069968725,1.4423589666550223,2.2057447300375537,1.3645593560288818,3.907678269933885,1e-08,1.3053171238115393,1.0125893092650815,828
17,0.14,-1.03,7.9,-0.379,1.0241,3.26,-0.38,13.7,2,2.37,B,**,Reg 2,0,0.6574582676047563,0.009746780396574617,8.159976502914683,4.302267740204514,9.97892858964134,2.9881214912888443,1.4405165419409687,3.159651451805163,1.1992094002249836,1.9628795712311904,1.3645593560288818,0.866210306052408,1e-08,1.2258973379388536,-3.433000291493331,806
18,1.75,0.36,52.3,0.075,1.02917,3.34,1.85,13.5,4,1.64,MM,*,Reg 3,0,0.13966402492980512,0.06586995923709704,24.567161950816573,22.080206604480747,20.122743490016493,10.056310537546404,1.456927857306609,3.280015316635836,1.4520306975101596,1.9484996820615266,1.9297524380738358,0.1890813105058456,1e-08,0.8322643960877532,-1.484840092573499,199
19,0.36,0.5,-38.8,-0.291,1.00091,3.87,0.45,8.8,2,3.81,R,*,Reg 2,0,0.9006292323430943,0.5448968966844955,9.881707349027474,26.034228598488962,3.1092792394670012,4.032994332714069,1.357206708675368,4.077425921139043,1.310880070504281,1.5731779324559492,1.3645593560288818,3.6437370227834434,1e-08,1.3262437079017946,0.6336650691829177,531
20,0.19,0.26,54.0,0.039,0.98998,3.32,0.59,12.1,1,2.9,R,**,Reg 1,1,0.5875212638613984,0.4315359911680752,8.536818271917417,19.629173032280775,20.58112607033199,9.343912488207392,1.3119626341028041,3.2499243504281674,1.3271380135611126,1.844704477647779,0.9649150833430776,1.665955439198951,3.670765282407223,1.1919088703114364,0.40021797174949714,433
21,0.36,0.26,13.2,0.051,0.9976,3.0,1.62,10.8,2,1.28,B,*,Reg 1,0,0.40798135031243843,0.6845644221057605,9.881707349027474,19.629173032280775,11.004709556408182,9.578470850890916,1.3439831931254627,2.7684688911054764,1.4315811860049727,1.7427968352034313,1.3645593560288818,0.03621274977879284,1e-08,1.0880469782153752,0.8620076350386637,583
22,0.28,0.64,-47.1,0.512,0.9972,3.98,-1.06,9.2,3,1.0,B,**,Reg 2,0,0.9954632990364751,0.4571333820028525,9.236569311403342,30.696318692092238,2.2960412516662854,20.790888735174896,1.3423585021410047,4.242926235281218,1.076564515879945,1.6085332472448677,1.6712221139600012,1e-08,1e-08,1.3598564996461182,0.45789648461976057,604
23,0.28,0.35,2.1,1.027,0.95511,3.26,2.14,9.2,2,1.32,M,Desc,Reg 3,0,0.9579378395878777,0.06205754871989111,9.236569311403342,21.821923041342732,8.91387445281535,38.3913552923391,1.122896125409079,3.159651451805163,1.4766424188210237,1.6085332472448677,1.3645593560288818,0.04729207186687624,1e-08,1.346855865984667,-1.5448522961521338,511
24,0.44,0.22,4.3,-0.923,1.02618,3.26,0.53,9.0,2,1.31,M,*,Reg 1,1,0.7391139228272214,0.44119527392159197,10.548621493603738,18.726712867722608,9.310787049223606,1e-08,1.4473170153586186,3.159651451805163,1.320243780928285,1.5909538042725335,1.3645593560288818,0.04438381774606812,3.670765282407223,1.2623064662927446,0.42237582904669757,591
25,0.23,0.42,-3.8,0.094,0.99699,3.49,0.9,9.9,2,1.0,M,*,Reg 1,1,0.5116994015814851,0.0991876937554268,8.84441621719989,23.695387234266697,7.892108908650675,10.44284873782999,1.3415031724234174,3.505697563193348,1.3611515206683926,1.6686034304358155,1.3645593560288818,1e-08,3.670765282407223,1.151439228685039,-1.0733686173992634,285
26,0.19,0.41,-36.7,0.046,0.9954,3.14,1.65,9.8,2,3.32,M,*,Reg 1,0,0.2878039196048764,0.0538314127441375,8.536818271917417,23.41821007037371,3.3345438378136087,9.480384839072437,1.33497338709807,2.979105654559154,1.4342984659285447,1.6601550554031799,1.3645593560288818,2.483819119777589,1e-08,0.9971541760029929,-1.6880926840436952,436
27,-0.06,-1.57,-41.4,0.055,0.99977,2.51,0.49,16.7,3,5.42,R,***,Reg 3,1,0.595164413113451,0.23855033471161602,6.737672344685519,2.2790367864100087,2.841294054622321,9.657303117066048,1.3526960786141489,2.031240219017605,1.3155869179148063,2.167158096124928,1.6712221139600012,9.014929805277795,3.670765282407223,1.1957664971284432,-0.1933362326909577,623
28,0.54,0.03,48.9,0.094,0.9982,4.0,0.8,9.2,5,1.13,M,*,Reg 1,0,0.8623622470841013,0.5962033126265744,11.412886824725508,14.975088778189058,19.221464909968635,10.44284873782999,1.3464092372577194,4.273017201488886,1.3504585370659805,1.6085332472448677,2.1575230219663686,0.007815533833268537,1e-08,1.311925845378565,0.7237161838805198,334
