,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_ident,AcidoCitrico_raiz4,Azucar_ident,CloruroSodico_raiz4,Densidad_cuarta,pH_ident,Sulfatos_sqr,Alcohol_sqr,CalifProductor_ident,PrecioBotella_raiz4,aleatorio_log,aleatorio2_exp,Compra
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,10.3,2,1.0,M,***,Reg 1,7.142857142857142,0.014616386568007567,0.10145052040482416,2.870957739031019,1.1474410747576158,3.691366421150938,1.1203473581639005,377.64491972877516,3.3424774044383745,10.678068403940076,8.582390821839725,1.5264202419989747,0.1,-3.0011096263385717,1.4163885589831087,1
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,Reg 3,0.0,0.57583882992453,0.5376943668894372,6.092553753871257,1.1334338892090663,3.3547133900048074,1.3201091777370504,96.37660815241736,2.9510277985131594,9.179033690614537,39.152854602545226,2.2895803629984623,1.12673928630256,0.6881492175503796,6.338755205434761,1
2,0.29,-0.4,21.5,0.06,0.99572,3.49,1.21,10.3,3,3.72,R,Desc,Reg 1,0.0,0.8151053202677093,0.4025696410607039,3.039831723679902,1.2206782506666838,3.554321824401186,1.3279457640517793,98.9903068014855,3.5080906992528886,14.588961668117125,8.582390821839725,2.2895803629984623,1.1649856662484306,1.0357568723461348,3.9848749071026313,0
3,-1.22,0.34,1.4,0.04,1.03236,3.2,-0.93,11.6,2,6.23,B,***,Reg 2,7.142857142857142,0.7498605573679,0.7166329913487617,1.0782954404505636,1.3267819217758923,2.9554965212120505,1.3211392727544935,440.4760582989753,3.0714738311055334,2.2622447183918886,10.885452666746732,1.5264202419989747,1.3718320632330931,0.9523020691312599,11.720824309956539,1
4,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,Reg 2,0.0,0.8636973184945261,0.23919085774998672,3.013851110656997,1.4090395719701727,3.248950712078368,1.3047162824539373,101.35790261294844,5.676119285915616,7.793324462924473,18.201495222666804,0.7632601209994871,0.9937433108122641,1.0936779162749708,2.273389578274064,1
5,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,Reg 2,0.0,0.5428083069619482,0.19597889097696386,2.377326091595821,1.333090893820581,2.967413442668551,1.1956440565485758,2.570496865072254,2.9058605362910193,11.034562802176035,12.843089708079274,2.2895803629984623,1.2235854490368128,0.6290531457101338,1.9597784776794316,1
6,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,Reg 1,0.0,0.43914205976440046,0.08391454067313409,2.9488995780997342,1.3454467024700754,3.223627253983305,1.2505117606227383,1001.643238684576,2.7854145036986453,4.316149693667129,8.416557062276823,3.8159006049974367,1.2623638632810228,0.41701907445540437,1.3335856356409463,1
7,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,Reg 1,0.0,0.311076969985674,0.19969228970675368,3.0917929497257126,1.0948126703403607,3.0031642070380515,1.4611905135357397,16.438434214055498,3.5984252236971686,2.4958180728010957,1.230585250561924,1.5264202419989747,0.6350268061614917,0.07201917031254607,1.984937849331825,1
8,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,Reg 3,0.0,0.43855053706884184,0.9481333146179817,3.07880264321426,1.3267819217758923,2.9525172908479256,1.3218246664688171,6.1907351808288835,2.6649684711062718,23.49774455070681,11.649093465180059,2.2895803629984623,1.2354259881779883,0.41567045828670973,25.961384562201086,1
9,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,Reg 1,0.0,0.9832542123687257,0.4038379361235799,3.325618466931859,1.4853681571116057,3.000184976673926,1.2444008419077326,107.46268953245634,6.172959170359158,24.23777043699522,11.844048251892492,3.0527404839979497,1.0121985939922453,1.2233558527141,4.0022741247294285,1
